,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rome,67,IT,1567722912,77,41.89,12.48,73.0,3.36
1,Qaanaaq,77,GL,1567722913,58,77.48,-69.36,29.57,6.13
2,Kaeo,22,NZ,1567722914,100,-35.1,173.78,53.01,19.44
3,Hasaki,40,JP,1567722915,100,35.73,140.83,77.0,2.24
4,Hermanus,0,ZA,1567722917,80,-34.42,19.24,57.0,18.99
5,Rikitea,100,PF,1567722918,78,-23.12,-134.97,68.63,16.71
6,Nanortalik,100,GL,1567722919,85,60.14,-45.24,43.43,4.74
7,Punta Arenas,0,CL,1567722920,80,-53.16,-70.91,41.0,6.93
8,Padang,74,ID,1567722921,84,-0.92,100.36,80.51,12.62
9,Iqaluit,75,CA,1567722906,70,63.75,-68.52,46.4,2.24
10,Kahului,40,US,1567722744,49,20.89,-156.47,91.4,23.04
11,Ancud,20,CL,1567722925,70,-41.87,-73.83,46.4,4.7
12,Gat,75,SN,1567722926,89,14.69,-16.54,84.2,9.28
13,Bluff,0,AU,1567722927,15,-23.58,149.07,78.89,7.78
14,Ushuaia,20,AR,1567722928,69,-54.81,-68.31,37.4,17.22
15,Ilhabela,100,BR,1567722816,85,-23.78,-45.36,65.03,18.07
16,Kavieng,42,PG,1567722930,74,-2.57,150.8,82.31,10.4
17,Mataura,94,NZ,1567722932,89,-46.19,168.86,46.0,8.99
18,Tibiri,50,NE,1567722933,56,13.57,7.05,79.97,11.54
19,San Patricio,100,PY,1567722934,88,-26.98,-56.83,54.59,5.88
20,Carnarvon,0,ZA,1567722935,67,-30.97,22.13,47.21,15.35
21,Muisne,0,EC,1567722936,78,0.61,-80.02,78.8,11.41
22,Castro,20,CL,1567722937,70,-42.48,-73.76,46.4,4.7
23,Lagos,100,NG,1567722869,91,6.46,3.39,76.37,9.28
24,Vaini,100,IN,1567722941,92,15.34,74.49,76.55,8.23
25,Chuy,72,UY,1567722942,79,-33.69,-53.46,48.47,8.46
26,Bataipora,100,BR,1567722783,61,-22.3,-53.27,72.95,8.3
27,Bambous Virieux,20,MU,1567722944,83,-20.34,57.76,69.8,3.36
28,Matara,8,BI,1567722945,62,-3.48,29.48,53.69,1.01
29,Touros,20,BR,1567722946,83,-5.2,-35.46,77.0,8.05
30,Barrow,100,AR,1567722947,68,-38.31,-60.23,40.19,7.43
31,Port Alfred,71,ZA,1567722948,67,-33.59,26.89,55.99,3.0
32,Albany,75,US,1567722902,52,42.65,-73.75,70.0,4.7
33,East London,83,ZA,1567722951,82,-33.02,27.91,50.63,4.21
34,Khatanga,100,RU,1567722952,98,71.98,102.47,47.03,4.21
35,Yeniseysk,93,RU,1567722953,94,58.45,92.17,45.23,4.36
36,Kununurra,16,AU,1567722954,93,-15.77,128.74,64.4,3.36
37,Mount Gambier,75,AU,1567722955,93,-37.83,140.78,46.4,9.17
38,Nikolskoye,0,RU,1567722956,82,59.7,30.79,57.99,6.71
39,Kapaa,75,US,1567722958,62,22.08,-159.32,89.6,16.11
40,Hobart,66,AU,1567722948,93,-42.88,147.33,51.01,5.82
41,New Norfolk,66,AU,1567722960,93,-42.78,147.06,51.01,5.82
42,Dikson,100,RU,1567722961,97,73.51,80.55,43.25,13.22
43,Georgetown,20,GY,1567722962,70,6.8,-58.16,84.2,11.41
44,Hithadhoo,62,MV,1567722963,79,-0.6,73.08,82.49,14.94
45,Porosozero,81,RU,1567722964,91,62.72,32.71,54.95,9.26
46,Brenham,1,US,1567722932,30,30.17,-96.4,100.4,4.7
47,Busselton,4,AU,1567722967,66,-33.64,115.35,37.0,12.55
48,Lebu,75,ET,1567722968,87,8.96,38.73,55.4,8.05
49,Fort Nelson,20,CA,1567722969,35,58.81,-122.69,69.8,5.82
50,Saint-Philippe,75,CA,1567722970,49,45.36,-73.48,71.6,9.17
51,Aklavik,90,CA,1567722971,100,68.22,-135.01,53.6,3.36
52,Faanui,39,PF,1567722972,81,-16.48,-151.75,75.83,23.22
